street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,count_date
01 AV,A ST - ASH ST,19597,,,,19597,2013/03/12
01 AV,ASH ST - BEECH ST,2298,,,,2298,2012/12/11
01 AV,B ST - A ST,15625,,,,15625,2011/09/01
01 AV,ELM ST - FIR ST,3530,,,,3530,2002/03/07
01 AV,ELM ST - FIR ST,4120,,,,4120,2003/03/12
01 AV,ELM ST - FIR ST,3880,,,,3880,2004/02/25
01 AV,B ST - A ST,13569,,,,13569,2014/02/11
01 AV,B ST - C ST,13389,,,,13389,2012/05/31
01 AV,B ST - C ST,13995,,,,13995,2015/06/17
01 AV,BEECH ST - CEDAR ST,27450,,,,27450,2006/03/23
01 AV,BEECH ST - CEDAR ST,22345,,,,22345,2009/03/31
01 AV,BEECH ST - CEDAR ST,18742,,,,18742,2012/03/08
01 AV,GRAPE ST - HAWTHORN ST,6180,1150,,,7330,2003/04/03
01 AV,BEECH ST - CEDAR ST,24463,,,,24463,2015/04/30
01 AV,BEECH ST - CEDAR ST,25715,,,,25715,2016/03/30
01 AV,E ST - BROADWAY ,10410,,,,10410,2008/01/08
01 AV,ISLAND AV - MARKET ST,6780,,,,6780,2002/11/05
01 AV,E ST - BROADWAY ,12905,,,,12905,2011/02/08
01 AV,E ST - BROADWAY ,11278,,,,11278,2014/02/11
01 AV,ELM ST - FIR ST,3920,,,,3920,2006/03/30
01 AV,ELM ST - FIR ST,3285,,,,3285,2009/03/31
01 AV,ELM ST - FIR ST,3414,,,,3414,2012/03/08
01 AV,ELM ST - FIR ST,3419,,,,3419,2014/08/05
01 AV,JUNIPER ST - KALMIA ST,3420,2230,,,5650,2002/03/08
01 AV,ELM ST - FIR ST,3477,,,,3477,2015/04/30
01 AV,ELM ST - FIR ST,3474,,,,3474,2016/03/01
01 AV,F ST - E ST,11148,,,,11148,2012/05/10
01 AV,F ST - E ST,11421,,,,11421,2015/06/09
01 AV,F ST - G ST,10003,,,,10003,2012/05/10
01 AV,MARKET ST - G ST,11630,,,,11630,2002/11/05
01 AV,F ST - G ST,10774,,,,10774,2015/06/10
01 AV,GRAPE ST - HAWTHORN ST,3210,610,,,3820,2011/08/30
01 AV,GRAPE ST - HAWTHORN ST,3566,502,,,4068,2014/02/11
01 AV,GRAPE ST - HAWTHORN ST,3038,514,,,3552,2014/08/05
01 AV,ISLAND AV - E HARBOR DR,3355,,,,3355,2015/12/22
01 AV,PALM ST - QUINCE ST,,,,,6490,2003/03/27
01 AV,ISLAND AV - MARKET ST,4770,,,,4770,2008/01/08
01 AV,ISLAND AV - MARKET ST,5690,,,,5690,2008/11/25
01 AV,ISLAND AV - MARKET ST,6315,,,,6315,2011/01/27
01 AV,PENNSYLVANIA AV - ROBINSON AV,4360,4360,,,8720,2002/02/13
01 AV,ISLAND AV - MARKET ST,6505,,,,6505,2011/11/17
01 AV,ISLAND AV - MARKET ST,5067,,,,5067,2014/02/11
01 AV,JUNIPER ST - KALIMA ST,2600,2103,,,4703,2014/02/11
01 AV,JUNIPER ST - KALMIA ST,3060,2040,,,5100,2005/03/29
01 AV,JUNIPER ST - KALMIA ST,3810,3480,,,7290,2008/03/20
01 AV,JUNIPER ST - KALMIA ST,2775,445,,,3220,2011/05/25
01 AV,ROBINSON AV - UNIVERSITY AV,5400,5200,,,10600,2002/02/20
01 AV,JUNIPER ST - KALMIA ST,2411,2036,,,4447,2014/08/05
01 AV,MARKET  ST - G ST,526,,,,526,2014/02/11
01 AV,MARKET ST - G ST,9770,,,,9770,2008/01/08
01 AV,MARKET ST - G ST,10285,,,,10285,2008/11/25
01 AV,SD 005  - ELM ST,27830,,,,27830,2004/03/12
01 AV,MARKET ST - G ST,12170,,,,12170,2011/01/27
01 AV,MARKET ST - G ST,10395,,,,10395,2011/11/17
01 AV,MARKET ST - G ST,526,,,,526,2014/02/11
01 AV,PALM ST - QUINCE ST,2580,3190,,,5770,2006/04/18
01 AV,PALM ST - QUINCE ST,550,460,,,1010,2009/04/21
01 AV,PALM ST - QUINCE ST,2868,2448,,,5316,2012/04/19
01 AV,UNIVERSITY AV - WASHINGTON ST,,,,,7420,2004/03/17
01 AV,PALM ST - QUINCE ST,2377,2157,,,4534,2015/06/03
01 AV,PALM ST - QUINCE ST,3398,2385,,,5783,2016/04/06
