street_name,total_counts,uniq.dates
01 AV,734810,58
02 AV,55903,14
03 AV,95901,18
04 AV,753240,47
05 AV,921951,57
06 AV,1331729,60
06 EX,38830,1
07 AV,52476,10
08 AV,70829,11
09 AV,66239,14
10 AV,454773,23
11 AV,427732,27
14 ST,0,1
16 ST,202943,23
17 ST,26681,7
19 ST,49546,6
25 ST,226352,22
26 ST,47386,7
27 ST,23351,6
28 ST,532990,33
30 ST,604704,47
31 ST,0,1
32 ST,382320,36
32ND  ST,2958,1
33 ST,83140,14
35 ST,111169,23
36 ST,22559,8
37 ST,5191,2
38 ST,35111,11
39 ST,8238,2
40 ST,26990,8
41 ST,3705,2
42 ST,20769,4
43 ST,354819,31
43RD  ST,3901,1
44 ST,0,1
45 ST,6633,3
47 ST,623487,36
49 ST,2149,2
50 ST,4332,3
51 ST,4434,2
52 ST,49877,6
54 ST,1163564,40
54TH  ST,44458,1
54TH  ST ,23936,1
55 ST,34358,4
56 ST,10198,5
58 ST,28772,11
60 ST,28815,9
61 ST,44139,11
62 AV,4250,1
62 ST,30642,8
63 ST,20997,4
65 ST,17699,7
68 ST,2552,2
69 ST,45236,16
70 ST,257205,8
A ST,531094,31
ABBOTT ST,26703,6
ABER ST,4760,3
ACACIA ST,12176,5
ACENA DR,12078,3
ACORN ST,14130,4
ACTIVITY RD,106364,7
ACWORTH AV,18643,5
ADAMS  AV,8185,1
ADAMS AV,461171,27
ADOBE FALLS RD,14456,4
ADOLPHIA ST,2799,2
ADRIAN ST,26897,5
AERO DR,1202783,26
AFTON RD,15956,3
AIRWAY RD,152457,13
AKINS AV,15959,4
ALABAMA ST,15432,6
ALBATROSS ST,25858,4
ALBION ST,2080,1
ALCOTT ST,1810,2
ALDINE  DR,4705,1
ALDINE DR,143723,9
ALLEGHANY ,13034,1
ALLEGHANY ST,40413,10
ALLEY - LA JOLLA BL,0,2
ALLEY S/O EL CAJON BL,0,1
ALMAZON ST,4750,3
ALSACIA ST,15020,5
ALTA VIEW DR,63784,8
ALTA VW DR,17220,4
ALVARADO CANYON RD,15370,3
ALVARADO CYN RD,39585,9
ALVARADO RD,91184,8
ALVERSON RD,0,1
ALVIN ST,0,1
AMALFI ST,380,1
ANGELIQUE ST,3549,3
ANTIGUA BL,102345,16
APPALOOSA RD,0,1
APPLETON ST,33456,5
AQUARIUS DR,9005,2
ARAGON DR,10926,6
ARBOR DR,17755,3
ARDATH RD,3639,2
AREY DR,13338,6
ARIANE DR,8311,4
